home_id,home_link,kamers,prijs,wonen
Badhuiskade (Bouwnr. 040),https://funda.nl/koop/verkocht/amsterdam/appartement-40489474-badhuiskade-bouwnr-040/,3 kamers,€ 602.763 v.o.n.,110 m²
Badhuiskade (Bouwnr. 048),https://funda.nl/koop/verkocht/amsterdam/appartement-40458556-badhuiskade-bouwnr-048/,3 kamers,€ 620.957 v.o.n.,110 m²
Badhuiskade (Bouwnr. 20),https://funda.nl/koop/verkocht/amsterdam/appartement-40458554-badhuiskade-bouwnr-20/,3 kamers,€ 640.957 v.o.n.,110 m²
De Voortuinen Penthouse (Bouwnr. 11.4),https://funda.nl/koop/amsterdam/appartement-40106583-de-voortuinen-penthouse-bouwnr-114/,5 kamers,€ 1.645.000 v.o.n.,177 m²
De Voortuinen Penthouse (Bouwnr. 12.1),https://funda.nl/koop/amsterdam/appartement-40106585-de-voortuinen-penthouse-bouwnr-121/,5 kamers,€ 1.825.000 v.o.n.,179 m²
De Voortuinen Penthouse (Bouwnr. 12.3),https://funda.nl/koop/amsterdam/appartement-40106584-de-voortuinen-penthouse-bouwnr-123/,5 kamers,€ 2.185.000 v.o.n.,226 m²
De Voortuinen Penthouse (Bouwnr. 13),https://funda.nl/koop/amsterdam/appartement-40106586-de-voortuinen-penthouse-bouwnr-13/,5 kamers,€ 3.385.000 v.o.n.,324 m²
De Voortuinen Penthouse (Bouwnr. 11.3),https://funda.nl/koop/amsterdam/appartement-40106572-de-voortuinen-penthouse-bouwnr-113/,4 kamers,€ 1.215.000 v.o.n.,138 m²
VOC-kade 122,https://funda.nl/koop/amsterdam/appartement-40183261-voc-kade-122/,2 kamers,€ 530.000 v.o.n.,48 m²
VOC-kade 130,https://funda.nl/koop/amsterdam/appartement-40183273-voc-kade-130/,2 kamers,€ 540.000 v.o.n.,48 m²
VOC-kade 150,https://funda.nl/koop/amsterdam/appartement-40183270-voc-kade-150/,2 kamers,€ 460.000 v.o.n.,48 m²
VOC-kade 128,https://funda.nl/koop/amsterdam/appartement-40183262-voc-kade-128/,2 kamers,€ 430.000 v.o.n.,48 m²
VOC-kade 136,https://funda.nl/koop/amsterdam/appartement-40183274-voc-kade-136/,2 kamers,€ 440.000 v.o.n.,48 m²
VOC-kade 138,https://funda.nl/koop/amsterdam/appartement-40183279-voc-kade-138/,2 kamers,€ 550.000 v.o.n.,48 m²
VOC-kade 144,https://funda.nl/koop/amsterdam/appartement-40183286-voc-kade-144/,2 kamers,€ 450.000 v.o.n.,48 m²
VOC-kade 156,https://funda.nl/koop/amsterdam/appartement-40183271-voc-kade-156/,2 kamers,€ 470.000 v.o.n.,48 m²
VOC-kade 124,https://funda.nl/koop/amsterdam/appartement-40183206-voc-kade-124/,2 kamers,€ 550.000 v.o.n.,51 m²
VOC-kade 132,https://funda.nl/koop/amsterdam/appartement-40183207-voc-kade-132/,2 kamers,€ 560.000 v.o.n.,51 m²
VOC-kade 140,https://funda.nl/koop/amsterdam/appartement-40183208-voc-kade-140/,2 kamers,€ 570.000 v.o.n.,51 m²
VOC-kade 134,https://funda.nl/koop/amsterdam/appartement-40183293-voc-kade-134/,2 kamers,€ 460.000 v.o.n.,48 m²
VOC-kade 142,https://funda.nl/koop/amsterdam/appartement-40183294-voc-kade-142/,2 kamers,€ 470.000 v.o.n.,48 m²
VOC-kade 126,https://funda.nl/koop/amsterdam/appartement-40183282-voc-kade-126/,2 kamers,€ 450.000 v.o.n.,48 m²
VOC-kade 148,https://funda.nl/koop/amsterdam/appartement-40183295-voc-kade-148/,2 kamers,€ 480.000 v.o.n.,48 m²
VOC-kade 154,https://funda.nl/koop/amsterdam/appartement-40183296-voc-kade-154/,2 kamers,€ 490.000 v.o.n.,48 m²
VOC-kade 120,https://funda.nl/koop/amsterdam/appartement-40183155-voc-kade-120/,2 kamers,€ 440.000 v.o.n.,50 m²
VOC-kade 118,https://funda.nl/koop/amsterdam/appartement-40183263-voc-kade-118/,2 kamers,€ 440.000 v.o.n.,49 m²
VOC-kade 146,https://funda.nl/koop/amsterdam/appartement-40183217-voc-kade-146/,3 kamers,€ 1.150.000 v.o.n.,100 m²
VOC-kade 152,https://funda.nl/koop/verkocht/amsterdam/appartement-40183218-voc-kade-152/,3 kamers,€ 1.300.000 v.o.n.,100 m²
VOC-kade 116,https://funda.nl/koop/amsterdam/appartement-40183156-voc-kade-116/,2 kamers,€ 440.000 v.o.n.,50 m²
VOC-kade 110,https://funda.nl/koop/amsterdam/huis-40183707-voc-kade-110/,7 kamers,€ 2.200.000 v.o.n.,177 m²
VOC-kade 114,https://funda.nl/koop/amsterdam/appartement-40183768-voc-kade-114/,4 kamers,€ 890.000 v.o.n.,86 m²
VOC-kade 112,https://funda.nl/koop/amsterdam/appartement-40183769-voc-kade-112/,1 kamer,€ 390.000 v.o.n.,43 m²
VOC-kade (Bouwnr. 1),https://funda.nl/koop/amsterdam/appartement-40182974-voc-kade-bouwnr-1/,2 kamers,€ 450.000 v.o.n.,56 m²
